date,location,total_cases,total_deaths
27/11/2020,Afghanistan,45402,1737
27/11/2020,Albania,35600,753
27/11/2020,Algeria,79110,2352
27/11/2020,Andorra,6534,76
27/11/2020,Angola,14821,340
27/11/2020,Anguilla,4,
27/11/2020,Antigua and Barbuda,141,4
27/11/2020,Argentina,1399418,37941
27/11/2020,Armenia,132346,2090
27/11/2020,Aruba,4791,45
27/11/2020,Australia,27867,907
27/11/2020,Austria,264692,2616
27/11/2020,Azerbaijan,106101,1256
27/11/2020,Bahamas,7482,163
27/11/2020,Bahrain,86347,341
27/11/2020,Bangladesh,456438,6524
27/11/2020,Barbados,266,7
27/11/2020,Belarus,130012,1128
25/11/2020,Belgium,566249,16104
27/11/2020,Belize,5515,131
27/11/2020,Benin,2974,43
27/11/2020,Bermuda,241,9
27/11/2020,Bhutan,389,
27/11/2020,Bolivia,144390,8939
27/11/2020,Bonaire Sint Eustatius and Saba,161,3
27/11/2020,Bosnia and Herzegovina,84252,2480
27/11/2020,Botswana,9992,31
27/11/2020,Brazil,6204220,171460
27/11/2020,British Virgin Islands,72,1
27/11/2020,Brunei,150,3
27/11/2020,Bulgaria,136628,3529
27/11/2020,Burkina Faso,2777,68
27/11/2020,Burundi,677,1
27/11/2020,Cambodia,307,
27/11/2020,Cameroon,24022,437
27/11/2020,Canada,353097,11799
27/11/2020,Cape Verde,10526,104
27/11/2020,Cayman Islands,269,2
27/11/2020,Central African Republic,4913,63
27/11/2020,Chad,1661,101
27/11/2020,Chile,545662,15235
27/11/2020,China,91784,4739
27/11/2020,Colombia,1280487,36019
27/11/2020,Comoros,610,7
27/11/2020,Congo,5632,93
27/11/2020,Costa Rica,135742,1679
27/11/2020,Cote d'Ivoire,21199,131
27/11/2020,Croatia,115626,1552
27/11/2020,Cuba,8075,133
27/11/2020,Curacao,2046,3
27/11/2020,Cyprus,9673,48
27/11/2020,Czech Republic,511520,7779
27/11/2020,Democratic Republic of Congo,12469,332
27/11/2020,Denmark,75395,811
27/11/2020,Djibouti,5676,61
27/11/2020,Dominica,80,
27/11/2020,Dominican Republic,140922,2317
27/11/2020,Ecuador,188138,13316
27/11/2020,Egypt,114475,6596
27/11/2020,El Salvador,38405,1102
27/11/2020,Equatorial Guinea,5146,85
27/11/2020,Eritrea,566,
27/11/2020,Estonia,10955,99
27/11/2020,Ethiopia,107669,1672
27/11/2020,Faeroe Islands,500,
27/11/2020,Falkland Islands,16,
27/11/2020,Fiji,38,2
27/11/2020,Finland,23148,388
27/11/2020,France,2183660,50957
27/11/2020,French Polynesia,13783,70
27/11/2020,Gabon,9173,59
27/11/2020,Gambia,3728,123
27/11/2020,Georgia,123470,1161
27/11/2020,Germany,1006394,15586
27/11/2020,Ghana,51225,323
27/11/2020,Gibraltar,991,5
27/11/2020,Greece,99306,2001
27/11/2020,Greenland,18,
27/11/2020,Grenada,41,
27/11/2020,Guam,6748,111
27/11/2020,Guatemala,120685,4133
27/11/2020,Guernsey,286,13
27/11/2020,Guinea,12949,76
27/11/2020,Guinea-Bissau,2422,43
27/11/2020,Guyana,5276,149
27/11/2020,Haiti,9256,232
27/11/2020,Honduras,106681,2892
27/11/2020,Hungary,198440,4364
27/11/2020,Iceland,5323,26
27/11/2020,India,9309787,135715
27/11/2020,Indonesia,516753,16352
27/11/2020,Iran,908346,46689
27/11/2020,Iraq,544670,12125
27/11/2020,Ireland,71494,2036
27/11/2020,Isle of Man,369,25
27/11/2020,Israel,333443,2834
27/11/2020,Italy,1509875,52850
27/11/2020,Jamaica,10541,248
27/11/2020,Japan,139491,2051
27/11/2020,Jersey,897,32
27/11/2020,Jordan,203021,2509
27/11/2020,Kazakhstan,170969,2429
27/11/2020,Kenya,80102,1427
27/11/2020,Kosovo,37028,963
27/11/2020,Kuwait,141547,872
27/11/2020,Kyrgyzstan,71548,1256
27/11/2020,Laos,38,
27/11/2020,Latvia,15171,188
27/11/2020,Lebanon,122200,974
27/11/2020,Lesotho,2092,44
27/11/2020,Liberia,1578,83
27/11/2020,Libya,80407,1140
27/11/2020,Liechtenstein,1256,14
27/11/2020,Lithuania,53757,449
27/11/2020,Luxembourg,32100,288
27/11/2020,Macedonia,58608,1630
27/11/2020,Madagascar,17341,251
27/11/2020,Malawi,6020,185
27/11/2020,Malaysia,60752,348
27/11/2020,Maldives,12889,46
27/11/2020,Mali,4461,148
27/11/2020,Malta,9253,122
27/11/2020,Marshall Islands,4,
27/11/2020,Mauritania,8248,171
27/11/2020,Mauritius,497,10
27/11/2020,Mexico,1078594,104242
27/11/2020,Moldova,102894,2229
27/11/2020,Monaco,600,2
27/11/2020,Mongolia,738,
27/11/2020,Montenegro,33316,469
27/11/2020,Montserrat,13,1
27/11/2020,Morocco,340684,5619
27/11/2020,Mozambique,15467,128
27/11/2020,Myanmar,85205,1846
27/11/2020,Namibia,14155,147
27/11/2020,Nepal,227640,1412
27/11/2020,Netherlands,502510,9171
27/11/2020,New Caledonia,32,
27/11/2020,New Zealand,1691,25
27/11/2020,Nicaragua,5784,160
27/11/2020,Niger,1443,70
27/11/2020,Nigeria,66974,1169
27/11/2020,Northern Mariana Islands,104,2
27/11/2020,Norway,34267,316
27/11/2020,Oman,122579,1391
27/11/2020,Pakistan,389311,7897
27/11/2020,Palestine,90732,763
27/11/2020,Panama,160287,3018
27/11/2020,Papua New Guinea,645,7
27/11/2020,Paraguay,79517,1704
27/11/2020,Peru,956347,35785
27/11/2020,Philippines,424297,8242
27/11/2020,Poland,941112,15568
27/11/2020,Portugal,280394,4209
27/11/2020,Puerto Rico,87263,1069
27/11/2020,Qatar,138066,237
27/11/2020,Romania,449349,10712
27/11/2020,Russia,2215533,38558
27/11/2020,Rwanda,5851,47
27/11/2020,Saint Kitts and Nevis,22,
27/11/2020,Saint Lucia,238,2
27/11/2020,Saint Vincent and the Grenadines,84,
27/11/2020,San Marino,1514,44
27/11/2020,Sao Tome and Principe,985,17
27/11/2020,Saudi Arabia,356389,5840
27/11/2020,Senegal,15960,331
27/11/2020,Serbia,148214,1366
27/11/2020,Seychelles,171,
27/11/2020,Sierra Leone,2409,74
27/11/2020,Singapore,58195,28
27/11/2020,Sint Maarten (Dutch part),1041,25
27/11/2020,Slovakia,101257,749
27/11/2020,Slovenia,71073,855
27/11/2020,Solomon Islands,17,
27/11/2020,Somalia,4445,113
27/11/2020,South Africa,778571,21289
27/11/2020,South Korea,32887,516
27/11/2020,South Sudan,3084,61
26/11/2020,Spain,1617355,44374
27/11/2020,Sri Lanka,22028,99
27/11/2020,Sudan,16187,1199
27/11/2020,Suriname,5307,117
27/11/2020,Swaziland,6329,120
26/11/2020,Sweden,236355,6622
27/11/2020,Switzerland,312722,4095
27/11/2020,Syria,7542,399
27/11/2020,Taiwan,639,7
27/11/2020,Tajikistan,12044,86
27/11/2020,Tanzania,509,21
27/11/2020,Thailand,3961,60
27/11/2020,Timor,30,
27/11/2020,Togo,2904,64
27/11/2020,Trinidad and Tobago,6570,116
27/11/2020,Tunisia,92475,3034
27/11/2020,Turkey,474606,13014
27/11/2020,Turks and Caicos Islands,746,6
27/11/2020,Uganda,19115,191
27/11/2020,Ukraine,677189,11717
27/11/2020,United Arab Emirates,163967,564
27/11/2020,United Kingdom,1574562,57031
27/11/2020,United States,12883845,263455
27/11/2020,United States Virgin Islands,1521,23
27/11/2020,Uruguay,5117,74
27/11/2020,Uzbekistan,72409,607
27/11/2020,Vanuatu,1,
27/11/2020,Vatican,26,
27/11/2020,Venezuela,100817,880
27/11/2020,Vietnam,1331,35
27/11/2020,Wallis and Futuna,3,
27/11/2020,Western Sahara,766,1
27/11/2020,Yemen,2137,612
27/11/2020,Zambia,17553,357
27/11/2020,Zimbabwe,9623,274
